Data Set 1:Time(s),Data Set 1:Sound Pressure
0,0.298498541
1.00E-05,0.337271124
2.00E-05,0.36491546
3.00E-05,0.385862738
4.00E-05,0.403134167
5.00E-05,0.417636096
6.00E-05,0.426397711
7.00E-05,0.426850885
8.00E-05,0.421614081
9.00E-05,0.41255036
0.0001,0.399407953
0.00011,0.381381214
0.00012,0.357966602
0.00013,0.329164118
0.00014,0.297995001
0.00015,0.263653576
0.00016,0.226542667
0.00017,0.186460882
0.00018,0.14522095
0.00019,0.104333498
0.0002,0.064352416
0.00021,0.024320984
0.00022,-0.015307617
0.00023,-0.051512145
0.00024,-0.083537295
0.00025,-0.111886598
0.00026,-0.137214661
0.00027,-0.159219354
0.00028,-0.177699283
0.00029,-0.191294864
0.0003,-0.200811774
0.00031,-0.206954956
0.00032,-0.210580438
0.00033,-0.211537167
0.00034,-0.209271237
0.00035,-0.204185486
0.00036,-0.197941586
0.00037,-0.191043094
0.00038,-0.183439642
0.00039,-0.174526975
0.0004,-0.164959714
0.00041,-0.155442804
0.00042,-0.146681219
0.00043,-0.138977051
0.00044,-0.131826788
0.00045,-0.124324039
0.00046,-0.117778018
0.00047,-0.113195799
0.00048,-0.111030579
0.00049,-0.109973148
0.0005,-0.109167479
0.00051,-0.108714297
0.00052,-0.111433409
0.00053,-0.116418459
0.00054,-0.12175598
0.00055,-0.127345279
0.00056,-0.134092718
0.00057,-0.141796872
0.00058,-0.149349973
0.00059,-0.15498963
0.0006,-0.15851441
0.00061,-0.160830691
0.00062,-0.161434934
0.00063,-0.15876618
0.00064,-0.151867673
0.00065,-0.14094086
0.00066,-0.127546698
0.00067,-0.111987308
0.00068,-0.093960568
0.00069,-0.073667906
0.0007,-0.052368164
0.00071,-0.030917358
0.00072,-0.010473633
0.00073,0.008207703
0.00074,0.024824524
0.00075,0.037664793
0.00076,0.045922853
0.00077,0.050253294
0.00078,0.051159669
0.00079,0.048037719
0.0008,0.040283203
0.00081,0.027493287
0.00082,0.012236023
0.00083,-0.002870178
0.00084,-0.019235229
0.00085,-0.036557008
0.00086,-0.053778075
0.00087,-0.069639586
0.00088,-0.081422426
0.00089,-0.088824466
0.0009,-0.094111636
0.00091,-0.098139957
0.00092,-0.097737119
0.00093,-0.092399597
0.00094,-0.082933046
0.00095,-0.072106935
0.00096,-0.061180115
0.00097,-0.049346924
0.00098,-0.034240723
0.00099,-0.016969299
0.001,-0.00050354
0.00101,0.014048767
0.00102,0.027694702
0.00103,0.043002319
0.00104,0.059266664
0.00105,0.075279236
0.00106,0.089428708
0.00107,0.104081728
0.00108,0.118583679
0.00109,0.1352005
0.0011,0.1527237
0.00111,0.168887332
0.00112,0.184497073
0.00113,0.200509638
0.00114,0.216773987
0.00115,0.231880188
0.00116,0.245324701
0.00117,0.255848706
0.00118,0.262696832
0.00119,0.265969843
0.0012,0.265567005
0.00121,0.261488348
0.00122,0.2527771
0.00123,0.239030451
0.00124,0.220651239
0.00125,0.199401855
0.00126,0.175534055
0.00127,0.149601743
0.00128,0.12165527
0.00129,0.092852786
0.0013,0.063697815
0.00131,0.036506653
0.00132,0.012991333
0.00133,-0.007553101
0.00134,-0.025579834
0.00135,-0.040484618
0.00136,-0.049749754
0.00137,-0.052670289
0.00138,-0.050354004
0.00139,-0.044613648
0.0014,-0.035600282
0.00141,-0.022155762
0.00142,-0.00478363
0.00143,0.015055847
0.00144,0.035751343
0.00145,0.056195069
0.00146,0.075329587
0.00147,0.092601016
0.00148,0.107807919
0.00149,0.119036868
0.0015,0.126086429
0.00151,0.127294928
0.00152,0.122914121
0.00153,0.114152528
0.00154,0.100456238
0.00155,0.080667116
0.00156,0.054130554
0.00157,0.023414612
0.00158,-0.010372925
0.00159,-0.047584534
0.0016,-0.088270567
0.00161,-0.130718991
0.00162,-0.173822016
0.00163,-0.215162665
0.00164,-0.25453949
0.00165,-0.292053223
0.00166,-0.325085461
0.00167,-0.351622015
0.00168,-0.372720331
0.00169,-0.38722229
0.0017,-0.394523621
0.00171,-0.394523621
0.00172,-0.385560602
0.00173,-0.368893445
0.00174,-0.345680237
0.00175,-0.315467834
0.00176,-0.277954102
0.00177,-0.234901428
0.00178,-0.187518314
0.00179,-0.136006162
0.0018,-0.081674196
0.00181,-0.024572754
0.00182,0.032327272
0.00183,0.088371277
0.00184,0.143257141
0.00185,0.196582034
0.00186,0.24628143
0.00187,0.291549683
0.00188,0.330976874
0.00189,0.365469366
0.0019,0.394221485
0.00191,0.41758576
0.00192,0.434504688
0.00193,0.444223017
0.00194,0.446589649
0.00195,0.44140321
0.00196,0.432339489
0.00197,0.418190002
0.00198,0.397242725
0.00199,0.370555103
0.002,0.340241998
0.00201,0.30821687
0.00202,0.273573309
0.00203,0.235153198
0.00204,0.195423886
0.00205,0.156600952
0.00206,0.118684389
0.00207,0.080516055
0.00208,0.041995239
0.00209,0.005438232
0.0021,-0.028097535
0.00211,-0.058007814
